id;Der;ferfi;Die;no;Das;semleges;Ige;verb;Melléknév;adj;Egyéb szófaj;other;Helynevek;place;Hónapok;month;Új;new
1;r Kugelschreiber, ~ / r Kuli, s;golyóstoll;e Hausaufgabe, n;házi feladat;s Lehrbuch, ¨-er / s Kursbuch, ¨-er;tankönyv;hören;hallani/hallgatni;fantastisch;fantasztikus;noch;még;Deutschland;Németország;r Januar;Január;r Tagesblauf, ¨-e;napirend
2;r Kaffee, s;kávé;e Seite, n;oldal;s Arbeitsbuch, ¨-er;munkafüzet;fotografieren;fotózni;prima;príma;hier;itt;Österreich;Ausztria;r Februar;Február;r Stundenplan, ¨-e;órarend
3;r Tourist, en;turista;e Aufgabe, n;feladat;s Bild, -er;kép;filmen;filmezni;international;nemzetközi;sehr;nagyon;Ungarn;Magyarország;r März;Március;r Langschläfer, ~;álomszuszék / hétalvó
4;r Sport;sport;e Übung, en;gyakorlat;s Wort, ¨-er;szó;komponieren;zenét szerezni;interessant;érdekes;Wie?;Hogyan?;Krakau;Krakkó;r April;Április;r Spätaufsteher, ~;későn kelő
5;r Skilift, e;sífelvonó;e Schweiz;Svájc;s Bier, e;sör;tanzen;táncolni;ledig;hajadon;Wo?;Hol?;Warschau;Varsó;r Mai;Május;r Frühaufsteher, ~;korán kelő
6;r Dom, e;dóm;e Torte, n;torta;s Konzert, e;koncert;suchen;keresni;viele;sok;Was?;Mi/Mit?;Wien;Bécs;r Juni;Június;e Birne, n;körte
7;r Gletscher, ~;gleccser;e Schokolade, n;csokoládé;s Auto, s;autó;korrigieren;korrigálni;neu;új;Wer?;Ki?;Brasilien;Brazília;r Juli;Július;e Traube, n;szőlő
8;r Tee, s;tea;e Alpen;Alpok;s Oktoberfest;októberfeszt;wohnen;lakni;verlobt;eljegyzett;Woher?;Honnan?;Indian;India;r August;Augusztus;e Religion, en;vallás / hittan
9;r Schinken, ~;sonka;e Musik, en;zene;s Kind, er;gyerek;trinken;inni;verheiratet;házas;Wann?;Mikor?;Japan;Japán;r September;Szeptember;e Physik;fizika
10;r Computer, ~;számítógép;e Tradition, en;tradíció;s Pedal, e;pedál;machen;csinálni;geschieden;elvált;Wen?;Kit?;Kenia;Kenya;r Oktober;Október;e Chemie, en;kémia
11;r Hamburger, ~;hamburger;e Gitarre, n;gitár;s Museum, Museen;múzeum;sagen;mondani;verwitwet;özvegy;Wieso?;Hogyhogy?;Russland;Oroszország;r November;November;e Sozialkunde, n;állampolgári ismeretek
12;r Supermarkt, ¨-er;szupermarket;e Information, en;információ;s Foto, s;fotó;schreiben;írni;berufstätig;foglalkoztatott;Welcher? / Welche? / Welches?;Melyik?;Dänmark;Dánia;r Dezember;December;e Kunst, ¨-e;művészet
13;r Komponist, en;zeneszerző;e Zitrone, n;citrom;s Radio, s;rádió;liegen;feküdni;alt;régi, öreg, idős;junge Leute;fiatalemberek;Schweden;Svédország;;;e Geografie / e Erdkunde;földrajz
14;r Politiker, ~;politikus;e Kamera, s;kamera;s Telefon, e;telefon;singen;énekelni;aktuell;aktuális;aus Ganz Europa;Európából;Norwegen;Norvégia;;;e Informatik;informatika
